mathMarks,scienceMarks,englishMarks,socialScienceMarks,itMarks,learningStyle,careerInclination,stream
67,94,71,66,35,Research,Medical,Bio
57,79,58,46,45,Research,Medical,Bio
57,77,54,60,54,Research,Medical,BioIP
72,94,50,49,44,Theoretical,Skilled,Bio
70,31,72,91,57,Theoretical,Arts,Humanities
51,39,84,98,37,Theoretical,Civics,Humanities
33,36,75,92,41,Theoretical,Civics,Humanities
68,52,65,56,73,Practical,Finance,Commerce
57,82,59,40,67,Research,Medical,Bio
60,79,69,45,59,Practical,Medical,BioIP
55,51,75,72,53,Creative,Arts,Humanities
46,68,64,87,43,Theoretical,Arts,Humanities
54,68,81,71,53,Theoretical,Arts,Humanities
61,54,84,99,34,Theoretical,Arts,Humanities
49,59,86,78,46,Theoretical,Civics,Humanities
90,63,77,55,94,Research,Skilled,CS
40,63,75,81,43,Theoretical,Arts,Humanities
30,69,99,93,47,Creative,Arts,Humanities
58,71,80,49,63,Practical,Technology,BioIP
90,73,72,61,80,Theoretical,Technology,CS
58,99,73,54,31,Research,Skilled,Bio
81,57,74,67,56,Theoretical,Skilled,Commerce
81,71,83,57,78,Research,Medical,BioIP
71,57,83,67,68,Theoretical,Finance,Commerce
83,41,86,76,41,Practical,Finance,Commerce
61,84,64,66,64,Research,Medical,BioIP
89,74,64,35,97,Theoretical,Technology,CS
69,86,89,47,61,Research,Medical,BioIP
84,61,76,61,68,Practical,Finance,Commerce
66,64,69,61,55,Theoretical,Skilled,Commerce
80,85,54,33,91,Research,Creative,CS
66,49,67,86,40,Creative,Arts,Humanities
86,83,52,65,85,Practical,Skilled,CS
67,71,70,69,59,Theoretical,Medical,Bio
63,56,63,98,36,Creative,Arts,Humanities
83,71,81,51,75,Practical,Medical,BioIP
30,59,97,90,36,Creative,Arts,Humanities
90,88,50,65,64,Research,Technology,BioIP
83,84,72,33,95,Practical,Creative,CS
69,55,72,70,41,Practical,Technology,Commerce
47,47,95,73,32,Creative,Civics,Humanities
86,42,76,58,46,Theoretical,Skilled,Commerce
73,44,71,57,40,Practical,Skilled,Commerce
88,60,57,54,74,Practical,Skilled,Commerce
77,91,79,37,99,Theoretical,Skilled,CS
60,46,89,95,53,Creative,Civics,Humanities
33,36,88,93,30,Theoretical,Civics,Humanities
61,80,53,59,39,Research,Skilled,Bio
90,95,74,38,98,Practical,Creative,CS
47,33,74,78,43,Creative,Arts,Humanities
86,74,73,65,77,Research,Technology,BioIP
75,78,77,55,30,Theoretical,Skilled,Bio
57,78,90,49,90,Practical,Medical,BioIP
84,63,72,58,77,Research,Creative,CS
55,97,53,55,58,Research,Medical,BioIP
82,67,67,78,50,Theoretical,Finance,Commerce
75,90,51,56,83,Research,Medical,BioIP
62,58,54,59,63,Theoretical,Skilled,Commerce
69,72,66,40,64,Theoretical,Skilled,Bio
69,70,75,68,61,Practical,Technology,BioIP
79,68,88,74,70,Practical,Skilled,Commerce
87,51,71,74,50,Practical,Finance,Commerce
40,39,86,88,43,Creative,Arts,Humanities
52,67,84,93,42,Theoretical,Arts,Humanities
61,68,75,95,38,Theoretical,Civics,Humanities
61,51,68,55,64,Practical,Technology,Commerce
53,81,50,53,87,Research,Medical,BioIP
60,94,76,53,40,Research,Medical,Bio
75,91,66,63,31,Research,Skilled,Bio
83,100,68,46,72,Research,Creative,CS
73,93,66,42,60,Research,Medical,Bio
53,48,83,76,59,Creative,Arts,Humanities
63,36,75,96,39,Creative,Civics,Humanities
68,57,70,83,38,Creative,Arts,Humanities
79,82,74,65,50,Theoretical,Skilled,Bio
66,50,95,78,32,Theoretical,Arts,Humanities
72,77,80,55,58,Research,Medical,Bio
72,65,88,67,59,Practical,Finance,Commerce
96,81,40,54,99,Practical,Technology,CS
99,65,74,59,90,Theoretical,Technology,CS
62,73,73,63,46,Theoretical,Skilled,Bio
60,54,52,71,75,Theoretical,Technology,Commerce
85,99,71,60,54,Practical,Medical,BioIP
44,39,78,73,54,Theoretical,Civics,Humanities
58,91,77,48,69,Theoretical,Medical,Bio
79,58,70,66,74,Practical,Technology,Commerce
97,78,68,46,96,Theoretical,Skilled,CS
32,34,93,74,36,Theoretical,Civics,Humanities
100,94,41,42,79,Theoretical,Creative,CS
86,62,60,30,96,Practical,Technology,CS
71,96,59,51,67,Theoretical,Medical,Bio
54,85,62,55,64,Theoretical,Skilled,Bio
76,71,84,54,73,Practical,Medical,BioIP
52,73,61,62,56,Research,Medical,Bio
65,37,91,89,44,Creative,Civics,Humanities
42,56,68,81,51,Creative,Civics,Humanities
56,67,79,72,51,Creative,Arts,Humanities
89,80,74,46,83,Research,Medical,BioIP
53,70,70,56,46,Theoretical,Medical,Bio
56,75,58,53,45,Research,Medical,Bio
84,97,77,69,73,Research,Creative,CS
89,91,48,61,83,Theoretical,Technology,CS
95,61,44,69,70,Practical,Skilled,CS
66,42,88,81,54,Creative,Arts,Humanities
95,61,41,43,76,Theoretical,Skilled,CS
82,67,82,80,55,Theoretical,Skilled,Commerce
96,60,43,62,73,Theoretical,Skilled,CS
78,95,58,66,68,Practical,Medical,BioIP
55,40,69,86,33,Theoretical,Civics,Humanities
85,85,48,57,75,Practical,Creative,CS
88,65,52,72,42,Theoretical,Technology,Commerce
77,86,69,56,41,Theoretical,Skilled,Bio
67,67,72,71,54,Theoretical,Finance,Commerce
58,83,83,40,68,Practical,Technology,BioIP
50,96,63,64,40,Theoretical,Skilled,Bio
59,40,98,87,44,Theoretical,Arts,Humanities
65,70,67,84,41,Theoretical,Arts,Humanities
74,66,52,54,45,Practical,Technology,Commerce
63,77,63,52,89,Practical,Medical,BioIP
79,93,50,42,56,Theoretical,Medical,Bio
66,65,87,69,61,Theoretical,Skilled,Commerce
30,53,80,89,59,Creative,Arts,Humanities
68,68,81,79,43,Creative,Arts,Humanities
60,57,97,72,58,Creative,Arts,Humanities
63,94,62,45,69,Research,Technology,BioIP
87,72,51,52,53,Practical,Medical,BioIP
65,89,57,51,59,Research,Skilled,Bio
79,86,51,31,91,Practical,Technology,CS
91,64,53,68,75,Research,Creative,CS
68,67,64,59,75,Practical,Finance,Commerce
50,89,76,62,31,Theoretical,Medical,Bio
86,100,66,58,92,Research,Creative,CS
62,85,76,47,41,Theoretical,Skilled,Bio
70,67,68,55,61,Theoretical,Skilled,Commerce
70,75,54,41,89,Practical,Technology,BioIP
74,58,77,66,65,Practical,Technology,Commerce
38,32,89,96,59,Creative,Civics,Humanities
95,95,79,47,89,Practical,Technology,CS
68,67,80,61,64,Theoretical,Technology,Commerce
72,99,45,34,87,Theoretical,Creative,CS
67,89,71,61,63,Research,Medical,Bio
87,51,64,77,71,Practical,Finance,Commerce
54,76,59,40,57,Theoretical,Medical,Bio
55,76,51,48,61,Research,Medical,BioIP
73,56,54,54,80,Theoretical,Technology,Commerce
63,92,69,59,88,Practical,Medical,BioIP
51,74,65,47,52,Research,Medical,Bio
75,74,74,45,64,Research,Skilled,Bio
54,84,59,40,51,Research,Technology,BioIP
62,97,73,43,70,Theoretical,Skilled,Bio
79,79,71,45,83,Research,Technology,BioIP
70,65,77,50,44,Practical,Technology,Commerce
61,66,81,56,43,Practical,Technology,Commerce
72,96,44,32,95,Research,Technology,CS
85,62,56,58,75,Practical,Skilled,CS
51,42,82,86,31,Creative,Civics,Humanities
97,87,62,65,76,Theoretical,Skilled,CS
75,78,78,62,36,Research,Medical,Bio
95,95,62,69,99,Practical,Technology,CS
57,97,69,48,37,Theoretical,Skilled,Bio
98,100,50,36,81,Theoretical,Technology,CS
61,95,55,45,64,Theoretical,Skilled,Bio
57,70,73,70,73,Practical,Medical,BioIP
37,42,98,100,49,Creative,Arts,Humanities
62,78,77,44,73,Practical,Medical,BioIP
76,90,43,30,91,Theoretical,Skilled,CS
98,100,76,61,94,Practical,Technology,CS
38,50,67,79,47,Theoretical,Arts,Humanities
68,85,63,50,46,Research,Skilled,Bio
71,74,69,42,88,Theoretical,Creative,CS
55,42,74,77,53,Theoretical,Arts,Humanities
43,50,100,98,45,Theoretical,Civics,Humanities
48,38,73,72,44,Theoretical,Arts,Humanities
61,30,60,94,55,Creative,Civics,Humanities
87,41,62,78,53,Theoretical,Finance,Commerce
63,70,83,67,68,Practical,Skilled,Commerce
72,95,63,42,67,Research,Medical,BioIP
84,96,55,51,52,Research,Medical,BioIP
97,64,40,39,77,Research,Creative,CS
83,50,58,73,74,Practical,Skilled,Commerce
78,45,62,72,66,Practical,Technology,Commerce
74,59,65,59,63,Theoretical,Finance,Commerce
75,68,51,61,50,Practical,Finance,Commerce
70,47,62,80,44,Practical,Technology,Commerce
62,59,98,84,30,Creative,Civics,Humanities
73,69,50,35,95,Theoretical,Creative,CS
66,54,62,64,53,Theoretical,Finance,Commerce
88,59,72,64,46,Theoretical,Finance,Commerce
77,67,57,51,59,Theoretical,Finance,Commerce
86,66,58,61,77,Theoretical,Skilled,Commerce
72,92,64,48,43,Theoretical,Medical,Bio
75,64,65,57,50,Theoretical,Skilled,Commerce
63,85,70,58,76,Practical,Technology,BioIP
81,48,85,61,62,Theoretical,Skilled,Commerce
37,32,92,92,50,Theoretical,Arts,Humanities
70,96,50,47,95,Research,Creative,CS
60,45,68,53,47,Theoretical,Technology,Commerce
52,87,75,68,51,Research,Skilled,Bio
80,84,72,65,62,Theoretical,Skilled,Bio
60,58,65,69,69,Theoretical,Technology,Commerce
51,71,58,59,34,Research,Medical,Bio
99,98,59,32,96,Theoretical,Technology,CS
53,65,77,93,48,Theoretical,Arts,Humanities
88,43,55,57,62,Theoretical,Skilled,Commerce
44,49,84,79,46,Creative,Civics,Humanities
95,69,56,60,89,Theoretical,Skilled,CS
67,52,99,84,58,Creative,Civics,Humanities
90,99,88,63,62,Practical,Medical,BioIP
82,76,69,37,77,Practical,Creative,CS
51,84,68,47,33,Research,Skilled,Bio
62,90,73,70,54,Theoretical,Skilled,Bio
69,100,71,70,36,Research,Medical,Bio
70,67,86,60,47,Theoretical,Skilled,Commerce
65,82,78,65,65,Research,Medical,Bio
67,79,67,54,61,Research,Skilled,Bio
49,50,87,70,58,Creative,Arts,Humanities
82,83,82,54,76,Research,Technology,BioIP
60,82,67,45,72,Research,Technology,BioIP
85,92,54,55,85,Practical,Technology,BioIP
98,83,52,53,97,Practical,Technology,CS
85,76,42,55,88,Practical,Technology,CS
64,70,59,57,78,Research,Medical,BioIP
61,95,81,54,78,Research,Technology,BioIP
88,86,48,33,98,Theoretical,Creative,CS
79,74,45,39,100,Theoretical,Technology,CS
62,95,62,46,41,Research,Medical,Bio
93,89,79,48,83,Practical,Skilled,CS
46,54,77,95,39,Theoretical,Civics,Humanities
69,46,66,88,34,Theoretical,Arts,Humanities
81,80,42,37,78,Research,Skilled,CS
52,88,73,62,67,Practical,Medical,BioIP
67,31,71,90,35,Creative,Civics,Humanities
79,76,57,68,34,Theoretical,Skilled,Bio
56,45,83,71,33,Theoretical,Arts,Humanities
55,78,58,50,33,Theoretical,Skilled,Bio
60,36,76,72,36,Theoretical,Civics,Humanities
85,68,88,59,61,Practical,Technology,Commerce
39,59,72,100,41,Creative,Arts,Humanities
63,89,83,62,81,Practical,Technology,BioIP
58,100,50,67,51,Research,Medical,Bio
52,72,68,68,49,Research,Skilled,Bio
86,82,61,63,99,Theoretical,Technology,CS
38,40,66,80,41,Theoretical,Arts,Humanities
61,55,88,56,79,Theoretical,Finance,Commerce
68,43,79,100,46,Creative,Civics,Humanities
60,42,76,93,57,Theoretical,Civics,Humanities
74,63,82,57,54,Theoretical,Skilled,Commerce
65,92,72,52,50,Theoretical,Skilled,Bio
85,77,76,56,62,Practical,Medical,BioIP
72,76,57,40,92,Practical,Skilled,CS
97,87,76,57,75,Research,Creative,CS
97,93,80,69,70,Practical,Skilled,CS
55,31,79,100,41,Creative,Civics,Humanities
83,46,53,75,49,Practical,Finance,Commerce
56,48,75,91,40,Theoretical,Civics,Humanities
59,90,53,47,80,Research,Medical,BioIP
65,76,59,54,62,Practical,Technology,BioIP
54,97,67,58,55,Research,Technology,BioIP
77,74,61,61,72,Practical,Skilled,CS
68,53,51,58,74,Theoretical,Technology,Commerce
84,87,48,65,88,Theoretical,Skilled,CS
68,62,81,72,61,Practical,Technology,Commerce
68,43,50,67,44,Theoretical,Finance,Commerce
51,79,62,40,49,Theoretical,Skilled,Bio
67,72,67,41,56,Research,Skilled,Bio
82,95,87,62,54,Practical,Technology,BioIP
68,87,79,42,86,Practical,Medical,BioIP
68,49,90,75,75,Practical,Technology,Commerce
68,43,88,75,47,Theoretical,Skilled,Commerce
80,61,79,37,100,Theoretical,Technology,CS
75,69,70,63,55,Practical,Technology,Commerce
66,51,77,59,43,Theoretical,Skilled,Commerce
88,95,64,70,78,Practical,Skilled,CS
70,88,80,48,56,Research,Technology,BioIP
59,33,81,77,56,Theoretical,Civics,Humanities
86,53,51,60,74,Theoretical,Skilled,Commerce
45,37,94,82,43,Creative,Civics,Humanities
59,100,56,58,60,Research,Technology,BioIP
82,67,84,68,73,Theoretical,Skilled,Commerce
61,44,77,64,57,Practical,Skilled,Commerce
81,47,63,64,48,Theoretical,Technology,Commerce
55,68,71,79,39,Theoretical,Civics,Humanities
97,83,66,35,91,Research,Skilled,CS
87,90,78,30,73,Theoretical,Creative,CS
98,92,67,65,77,Theoretical,Creative,CS
55,80,74,48,39,Theoretical,Skilled,Bio
51,81,66,47,64,Research,Skilled,Bio
85,61,77,35,84,Practical,Technology,CS
69,33,99,100,53,Theoretical,Arts,Humanities
71,85,55,58,62,Practical,Medical,BioIP
36,43,99,82,37,Creative,Civics,Humanities
51,90,74,65,56,Research,Medical,BioIP
72,64,88,71,70,Practical,Skilled,Commerce
78,69,43,48,71,Theoretical,Skilled,CS
51,64,92,86,48,Theoretical,Civics,Humanities
75,71,75,70,85,Theoretical,Technology,CS
81,86,44,49,97,Practical,Technology,CS
56,85,58,55,50,Theoretical,Medical,Bio
75,73,80,42,82,Practical,Creative,CS
52,78,76,63,49,Theoretical,Medical,Bio
78,98,56,43,49,Theoretical,Skilled,Bio
66,31,77,81,32,Creative,Arts,Humanities
69,92,55,48,87,Practical,Technology,BioIP
65,63,68,74,48,Theoretical,Skilled,Commerce
58,63,84,70,55,Theoretical,Arts,Humanities
30,48,68,78,41,Creative,Civics,Humanities
74,90,83,60,51,Research,Medical,BioIP
34,37,66,84,44,Theoretical,Arts,Humanities
59,74,61,58,50,Theoretical,Skilled,Bio
72,61,49,54,94,Research,Technology,CS
76,98,55,62,42,Research,Medical,Bio
83,61,87,64,42,Theoretical,Finance,Commerce
56,68,83,86,33,Theoretical,Civics,Humanities
67,87,81,46,77,Research,Medical,BioIP
83,71,53,44,73,Practical,Creative,CS
80,73,60,63,83,Research,Technology,BioIP
69,66,72,51,52,Practical,Technology,Commerce
70,90,65,34,98,Practical,Technology,CS
48,57,68,97,37,Theoretical,Arts,Humanities
70,57,60,67,60,Practical,Technology,Commerce
64,91,76,43,43,Theoretical,Skilled,Bio
83,83,72,69,81,Research,Creative,CS
41,66,95,98,57,Creative,Arts,Humanities
82,56,65,66,70,Theoretical,Finance,Commerce
93,76,76,36,77,Theoretical,Technology,CS
64,41,92,85,36,Theoretical,Civics,Humanities
77,93,52,48,43,Theoretical,Skilled,Bio
70,45,73,89,34,Theoretical,Arts,Humanities
90,71,73,49,86,Research,Skilled,CS
62,69,65,95,30,Creative,Civics,Humanities
77,89,83,59,66,Practical,Medical,BioIP
68,69,84,58,69,Practical,Technology,Commerce
76,98,79,54,87,Research,Technology,BioIP
67,70,50,60,37,Research,Skilled,Bio
58,77,84,69,90,Research,Technology,BioIP
80,40,57,68,42,Theoretical,Finance,Commerce
86,81,70,68,54,Research,Technology,BioIP
57,93,75,54,64,Research,Technology,BioIP
62,58,73,63,43,Practical,Technology,Commerce
66,39,73,80,60,Theoretical,Civics,Humanities
52,86,72,57,40,Research,Medical,Bio
74,59,87,64,40,Practical,Technology,Commerce
79,43,59,78,52,Practical,Skilled,Commerce
63,70,70,84,33,Creative,Civics,Humanities
54,85,69,51,70,Research,Skilled,Bio
66,86,59,51,52,Research,Skilled,Bio
79,83,51,52,93,Research,Technology,CS
73,59,74,65,69,Practical,Finance,Commerce
81,62,80,70,50,Theoretical,Technology,Commerce
66,94,72,40,61,Research,Skilled,Bio
58,88,67,68,57,Research,Technology,BioIP
77,73,72,59,89,Theoretical,Technology,CS
69,100,72,64,74,Practical,Technology,BioIP
34,45,76,86,56,Theoretical,Arts,Humanities
65,46,96,89,44,Theoretical,Civics,Humanities
44,35,83,85,42,Theoretical,Arts,Humanities
64,61,93,84,58,Theoretical,Arts,Humanities
78,98,43,67,75,Research,Creative,CS
74,80,52,49,100,Research,Creative,CS
94,73,46,53,92,Research,Creative,CS
61,86,80,55,51,Research,Medical,Bio
85,96,56,41,76,Research,Medical,BioIP
82,95,71,41,91,Theoretical,Skilled,CS
79,71,75,68,30,Research,Medical,Bio
55,30,60,91,46,Creative,Civics,Humanities
62,86,52,52,44,Theoretical,Medical,Bio
88,96,60,37,84,Practical,Creative,CS
57,94,71,47,58,Practical,Medical,BioIP
55,31,82,84,35,Theoretical,Civics,Humanities
54,82,78,68,50,Research,Skilled,Bio
56,80,78,54,62,Theoretical,Skilled,Bio
74,75,62,43,48,Theoretical,Skilled,Bio
50,80,55,48,46,Research,Skilled,Bio
71,100,75,70,35,Theoretical,Skilled,Bio
66,93,66,43,69,Theoretical,Skilled,Bio
84,77,56,32,100,Theoretical,Creative,CS
58,82,56,51,68,Theoretical,Medical,Bio
50,75,57,67,41,Research,Skilled,Bio
46,67,86,99,33,Theoretical,Arts,Humanities
79,88,74,54,81,Theoretical,Creative,CS
88,44,81,58,52,Practical,Technology,Commerce
79,47,72,78,56,Theoretical,Technology,Commerce
71,79,67,67,86,Practical,Technology,BioIP
74,42,88,62,73,Practical,Skilled,Commerce
66,59,76,70,43,Practical,Skilled,Commerce
39,64,83,97,33,Theoretical,Civics,Humanities
74,80,75,70,59,Theoretical,Skilled,Bio
94,88,67,54,90,Research,Creative,CS
65,53,57,74,67,Practical,Finance,Commerce
53,43,61,73,35,Theoretical,Arts,Humanities
77,78,66,70,67,Practical,Medical,BioIP
92,78,59,56,70,Research,Skilled,CS
58,40,80,100,38,Theoretical,Civics,Humanities
69,96,63,43,67,Theoretical,Medical,Bio
61,33,78,71,44,Theoretical,Arts,Humanities
60,82,54,54,55,Research,Technology,BioIP
66,63,87,50,57,Practical,Skilled,Commerce
78,79,80,56,82,Research,Technology,CS
100,66,52,33,82,Theoretical,Creative,CS
39,30,82,77,36,Creative,Civics,Humanities
77,72,52,54,86,Research,Medical,BioIP
88,67,71,67,43,Theoretical,Technology,Commerce
84,79,84,69,79,Practical,Technology,BioIP
58,99,70,48,53,Theoretical,Skilled,Bio
34,48,66,87,37,Theoretical,Civics,Humanities
42,58,84,73,41,Creative,Civics,Humanities
73,72,89,44,83,Research,Medical,BioIP
73,75,51,55,44,Research,Skilled,Bio
50,36,97,76,46,Theoretical,Civics,Humanities
79,86,73,54,37,Research,Medical,Bio
68,52,77,72,53,Theoretical,Technology,Commerce
80,59,62,60,52,Theoretical,Finance,Commerce
70,37,98,98,49,Creative,Arts,Humanities
83,99,52,42,72,Research,Medical,BioIP
63,39,82,97,34,Creative,Arts,Humanities
81,73,66,60,60,Research,Technology,BioIP
69,75,50,40,55,Research,Medical,BioIP
59,74,54,59,76,Practical,Technology,BioIP
88,92,79,66,92,Theoretical,Creative,CS
53,44,82,91,38,Theoretical,Arts,Humanities
66,61,71,84,35,Theoretical,Arts,Humanities
85,76,85,41,57,Practical,Technology,BioIP
65,78,61,48,48,Theoretical,Skilled,Bio
69,59,80,95,39,Creative,Civics,Humanities
64,64,71,54,72,Practical,Technology,Commerce
85,93,47,33,99,Research,Creative,CS
81,93,48,53,81,Research,Skilled,CS
68,87,65,65,65,Research,Medical,BioIP
76,85,73,65,61,Research,Medical,Bio
91,80,71,45,88,Practical,Creative,CS
79,71,49,34,88,Theoretical,Technology,CS
49,60,64,91,46,Theoretical,Civics,Humanities
80,42,85,74,67,Theoretical,Skilled,Commerce
67,99,69,55,63,Research,Technology,BioIP
85,42,62,79,77,Theoretical,Finance,Commerce
73,90,60,66,73,Practical,Technology,BioIP
54,30,75,82,37,Theoretical,Arts,Humanities
91,91,41,39,73,Practical,Creative,CS
72,71,50,31,83,Practical,Creative,CS
61,99,78,66,69,Research,Technology,BioIP
66,79,63,70,63,Theoretical,Skilled,Bio
85,100,58,56,73,Practical,Technology,CS
50,95,74,62,60,Research,Medical,Bio
74,62,65,57,70,Theoretical,Technology,CS
68,78,85,53,60,Practical,Technology,BioIP
88,75,51,44,93,Research,Creative,CS
87,63,60,64,76,Practical,Skilled,CS
93,63,76,64,79,Theoretical,Technology,CS
81,60,64,60,78,Practical,Technology,Commerce
83,63,90,68,76,Theoretical,Skilled,Commerce
71,76,79,40,50,Theoretical,Skilled,Bio
75,57,63,53,45,Practical,Finance,Commerce
75,68,73,59,44,Theoretical,Finance,Commerce
58,95,67,45,54,Practical,Medical,BioIP
68,86,74,61,36,Theoretical,Skilled,Bio
77,48,86,80,69,Practical,Technology,Commerce
67,69,90,61,77,Theoretical,Technology,Commerce
35,30,76,70,34,Theoretical,Civics,Humanities
54,74,58,62,38,Research,Medical,Bio
63,96,50,55,80,Research,Medical,BioIP
81,72,80,53,53,Research,Medical,BioIP
63,51,89,68,62,Theoretical,Finance,Commerce
60,89,61,53,57,Practical,Technology,BioIP
61,63,61,73,76,Practical,Finance,Commerce
74,47,56,73,75,Theoretical,Skilled,Commerce
54,64,69,78,32,Creative,Civics,Humanities
59,64,92,91,30,Creative,Arts,Humanities
62,68,98,81,52,Creative,Arts,Humanities
72,91,62,38,74,Practical,Skilled,CS
73,91,54,49,51,Practical,Technology,BioIP
74,76,69,60,62,Practical,Technology,BioIP
46,57,80,85,50,Creative,Arts,Humanities
87,74,72,33,88,Theoretical,Skilled,CS
41,65,69,77,48,Theoretical,Civics,Humanities
51,80,64,42,63,Theoretical,Medical,Bio
55,86,71,55,68,Research,Technology,BioIP
35,40,76,84,38,Theoretical,Civics,Humanities
32,50,90,79,44,Creative,Arts,Humanities
70,56,52,77,58,Theoretical,Technology,Commerce
70,85,76,38,100,Research,Technology,CS
85,73,75,32,73,Theoretical,Technology,CS
55,53,61,71,40,Creative,Civics,Humanities
80,64,56,61,71,Practical,Technology,Commerce
98,63,60,30,99,Research,Technology,CS
80,96,51,46,54,Research,Medical,Bio
80,89,67,48,73,Practical,Medical,BioIP
49,34,75,91,37,Creative,Civics,Humanities
59,83,56,55,36,Research,Skilled,Bio
87,88,86,47,84,Practical,Medical,BioIP
77,77,66,69,30,Research,Medical,Bio
66,98,66,51,68,Research,Technology,BioIP
45,44,72,76,43,Theoretical,Arts,Humanities
51,55,78,90,54,Creative,Arts,Humanities
85,78,73,70,74,Practical,Technology,BioIP
78,92,71,55,38,Research,Medical,Bio
